timestamp,value,gesture
1764020131.4389837,620.0,up_down
1764019485.2716866,666.0,round
1764019551.4407766,417.0,round
1764019529.5692365,1.0,round
1764020221.4111545,370.0,shoot
1764019531.8313022,1023.0,round
1764099509.708162,53.0,up_down
1764099385.804668,517.0,shoot
1764020141.8198266,742.0,up_down
1764099121.5726418,541.0,round
1764099143.3716457,531.0,round
1764020095.8931725,622.0,up_down
1764099368.2524624,351.0,shoot
1764020115.5941024,502.0,up_down
1764099475.7217147,1023.0,up_down
1764099404.5132124,452.0,shoot
1764099413.6031442,67.0,shoot
1764020236.7497818,698.0,shoot
1764099399.6571572,217.0,shoot
1764020212.218112,346.0,shoot
1764020141.2760186,500.0,up_down
1764020110.7739196,449.0,up_down
1764099387.4780686,357.0,shoot
1764099110.671259,532.0,round
1764020212.2587223,370.0,shoot
1764020246.741289,631.0,shoot
1764020229.6063795,187.0,shoot
1764099358.1120975,398.0,shoot
1764020201.705704,825.0,shoot
1764099484.0476012,480.0,up_down
1764019511.1564314,1023.0,round
1764099487.762566,141.0,up_down
1764020209.1542573,441.0,shoot
1764020110.6589262,410.0,up_down
1764020147.4009762,490.0,up_down
1764099507.415532,1023.0,up_down
1764099145.607333,778.0,round
1764099510.2717383,94.0,up_down
1764020195.1745622,371.0,shoot
1764099367.8520305,569.0,shoot
1764099102.3520286,495.0,round
1764019490.8663075,454.0,round
1764020204.1398666,169.0,shoot
1764099477.725412,0.0,up_down
1764099495.0184526,898.0,up_down
1764020200.6076062,271.0,shoot
1764019518.638151,340.0,round
1764099356.1915724,608.0,shoot
1764019509.872225,1023.0,round
1764099412.738967,231.0,shoot
1764099139.9842272,428.0,round
1764020121.6510005,520.0,up_down
1764099464.25097,451.0,up_down
1764020103.9442673,692.0,up_down
1764099417.415129,704.0,shoot
1764020206.4519718,0.0,shoot
1764099418.8574362,625.0,shoot
1764099512.9543598,0.0,up_down
1764019494.8841271,443.0,round
1764099369.229986,456.0,shoot
1764099469.1082425,589.0,up_down
1764019509.6470115,676.0,round
1764020216.2391958,668.0,shoot
1764020245.5766857,763.0,shoot
1764019553.319672,280.0,round
1764099147.9223852,466.0,round
1764019519.348752,1023.0,round
1764019498.967557,477.0,round
1764019510.8569615,1.0,round
1764019505.956448,470.0,round
1764019548.0385382,557.0,round
1764099385.5179276,174.0,shoot
1764019520.439783,1023.0,round
1764020205.79485,0.0,shoot
1764099128.2970252,723.0,round
